Play By Play (1st),,,Period: 1 | 2 | 3 | 4,,,
Team,PER,Time,Data,BYU - UWV,,
,,4:42,Player Movement > Sub In > Home Player > Savannah Samuel,,,
,,4:42,Player Movement > Sub Out > Home Player > Jasmine Carson,,,
,,4:42,Player Movement > Sub Out > Home Player > Esmery Martinez,,,
BYU,2,4:29,2 Shaylee Gonzales > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits,24,-,29
,,,Ball Delivered,,,
,,,25 Emma Calvert > P&R Roll Man > Rolls to Basket > Make 2 Pts,,,
,,4:29,Shot > Emma Calvert > Any Type > 2 Point Attempt > Make 2 Pts,,,
,,4:29,Misc Stat > Assist > Shaylee Gonzales,,,
UWV,2,4:19,24 Savannah Samuel > Transition > Right Wing > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,24,-,29
,,4:19,Shot > Savannah Samuel > Any Type > 3 Point Attempt > Miss 3 Pts,,,
,,4:16,Misc Stat > Defensive Rebound > Shaylee Gonzales,,,
BYU,2,4:04,10 Tegan Graham > Off Screen > To Shooter's Right > Flare > Turnover,24,-,29
,,4:04,Turnover > Any Type > Tegan Graham,,,
UWV,2,3:46,30 Madisen Smith > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,24,-,29
,,3:46,Shot > Madisen Smith > Any Type > 3 Point Attempt > Miss 3 Pts,,,
,,3:44,Misc Stat > Defensive Rebound > Sara Hamson,,,
,,3:44,Player Movement > Sub In > Away Player > Paisley Johnson,,,
,,3:44,Player Movement > Sub Out > Away Player > Sara Hamson,,,
BYU,2,3:29,2 Shaylee Gonzales > P&R Ball Handler > Right P&R > Side > Go Away from Pick > To Basket > Miss 2 Pts,24,-,29
,,3:29,Shot > Shaylee Gonzales > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,3:27,Misc Stat > Defensive Rebound > Madisen Smith,,,
UWV,2,3:18,30 Madisen Smith > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,24,-,29
,,3:18,Shot > Madisen Smith > Any Type > 3 Point Attempt > Miss 3 Pts,,,
UWV,2,3:15,21 Ariana Gray > Offensive Rebound > Short > Scoring Attempt > At Basket > Foul,24,-,30
,,3:15,Misc Stat > Offensive Rebound > Ariana Gray,,,
,,3:13,Player Movement > Sub Out > Home Player > Yemiyah Morris,,,
,,3:13,Player Movement > Sub Out > Home Player > Madisen Smith,,,
,,3:13,Personal Foul > Defensive - Any > Emma Calvert,,,
UWV,2,3:13,21 Ariana Gray > Non Possession > Free Throw,24,-,30
,,3:13,Shot > Ariana Gray > Free Throw > Missed,,,
UWV,2,3:13,21 Ariana Gray > Non Possession > Free Throw,24,-,30
,,3:13,Shot > Ariana Gray > Free Throw > Made,,,
,,3:13,Player Movement > Sub In > Home Player > Janaiya Quinerly,,,
,,3:13,Player Movement > Sub In > Home Player > Esmery Martinez,,,
BYU,2,2:54,10 Tegan Graham > No Play Type > Turnover,24,-,30
,,2:54,Turnover > Any Type > Tegan Graham,,,
,,2:54,Misc Stat > Steal > Esmery Martinez,,,
UWV,2,2:49,21 Ariana Gray > Transition > Right Wing > To Basket > Make 2 Pts,24,-,32
,,2:49,Shot > Ariana Gray > Any Type > 2 Point Attempt > Make 2 Pts,,,
,,2:49,Misc Stat > Assist > Kirsten Deans,,,
BYU,2,2:36,10 Tegan Graham > P&R Ball Handler > Right P&R > Baseline > Dribble Off Pick > Dribble Jumper > Medium/17' to <3p > Make 2 Pts,26,-,32
,,2:36,Shot > Tegan Graham > Any Type > 2 Point Attempt > Make 2 Pts,,,
UWV,2,2:06,12 Esmery Martinez > Cut > Basket > Make 2 Pts,26,-,34
,,2:06,Shot > Esmery Martinez > Any Type > 2 Point Attempt > Make 2 Pts,,,
,,2:06,Misc Stat > Assist > Kirsten Deans,,,
