Play By Play (1st),,,Period: 1 | 2 | 3 | 4,,,
Team,PER,Time,Data,BSU - BYU,,
,,2:14,Player Movement > Sub Out > Away Player > Trista Hull,,,
,,2:14,Player Movement > Sub In > Away Player > Rachel Bowers,,,
,,1:47,Misc Stat > Assist > Elodie Lalotte,,,
BYU,2,1:33,3 Nani Falatea > Spot-Up > Drives Right > Turnover,23,-,31
,,1:33,Turnover > Any Type > Nani Falatea,,,
,,1:33,Misc Stat > Steal > Elodie Lalotte,,,
BSU,2,1:10,23 Elodie Lalotte > Post-Up > Left Block > Right Shoulder > Dribble Move > To Basket > Miss 2 Pts,23,-,31
,,1:10,Shot > Elodie Lalotte > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,1:07,Misc Stat > Defensive Rebound > Paisley Johnson,,,
BYU,2,0:58,2 Shaylee Gonzales > Spot-Up > Drives Right > To Basket > Miss 2 Pts,23,-,31
,,0:58,Shot > Shaylee Gonzales > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,0:54,Misc Stat > Defensive Rebound > Rachel Bowers,,,
BSU,2,0:34,23 Elodie Lalotte > Post-Up > Right Block > Left Shoulder > Dribble Move > Defense Commits,23,-,31
,,,Ball Delivered,,,
